Country,Year,Sex,Age,Deaths,Pop
2090,2000,1.0,1,111741.0,15246964.0
2090,2000,2.0,1,106320.0,15543870.0
2090,2001,1.0,1,112000.0,15364404.0
2090,2001,2.0,1,107537.0,15656847.0
2090,2002,1.0,1,113266.0,15538572.0
2090,2002,2.0,1,110337.0,15834015.0
2450,1999,1.0,1,1175460.0,133276559.0
2450,1999,2.0,1,1215939.0,139414254.0
2450,2000,1.0,1,1177578.0,138053563.0
2450,2000,2.0,1,1225773.0,143368343.0
2450,2001,1.0,1,1183421.0,139813108.0
2450,2001,2.0,1,1233004.0,144983779.0
2450,2002,1.0,1,1199264.0,141660980.0
2450,2002,2.0,1,1244123.0,146707726.0
3090,2001,1.0,1,19007.0,3282000.0
3090,2001,2.0,1,14294.0,3432300.0
3090,2002,1.0,1,19523.0,3279600.0
3090,2002,2.0,1,14791.0,3464500.0
3150,1998,1.0,1,18853.0,2945600.0
3150,1998,2.0,1,18100.0,3025100.0
3150,1999,1.0,1,18836.0,3021700.0
3150,1999,2.0,1,18455.0,3103500.0
3150,2000,1.0,1,19161.0,3102422.0
3150,2000,2.0,1,18527.0,3186784.0
3150,2001,1.0,1,19002.0,3176552.0
3150,2001,2.0,1,18185.0,3262490.0
3150,2002,1.0,1,19322.0,3241736.5
3150,2002,2.0,1,18979.0,3328220.5
3160,1995,1.0,1,501276.0,60919200.0
3160,1995,2.0,1,420863.0,63379800.0
3160,1996,1.0,1,488605.0,61115000.0
3160,1996,2.0,1,407606.0,63594000.0
3160,1997,1.0,1,497796.0,61210000.0
3160,1997,2.0,1,415606.0,63753000.0
3160,1998,1.0,1,512128.0,61311000.0
3160,1998,2.0,1,424356.0,63941000.0
3160,1999,1.0,1,534778.0,61358000.0
3160,1999,2.0,1,447253.0,64074000.0
3160,2000,1.0,1,525903.0,61488005.0
3160,2000,2.0,1,435750.0,64124628.0
3160,2001,1.0,1,528768.0,61595000.0
3160,2001,2.0,1,441563.0,64313000.0
3160,2002,1.0,1,535305.0,61591000.0
3160,2002,2.0,1,447074.0,64417000.0
3190,1995,1.0,1,2423.0,1038800.0
3190,1995,2.0,1,1358.0,651700.0
3190,1996,1.0,1,2389.0,1078300.0
3190,1996,2.0,1,1423.0,675700.0
3190,1997,1.0,1,2541.0,1112000.0
3190,1997,2.0,1,1476.0,697300.0
3190,1998,1.0,1,2666.0,1226774.0
3190,1998,2.0,1,1549.0,800329.0
3190,1999,1.0,1,2649.0,1278800.0
3190,1999,2.0,1,1537.0,828400.0
3190,2000,1.0,1,2690.0,1332957.0
3190,2000,2.0,1,1537.0,856711.0
3190,2001,1.0,1,2761.0,1354609.0
3190,2001,2.0,1,1603.0,888471.0
3190,2002,1.0,1,2755.0,1425041.0
3190,2002,2.0,1,1587.0,938284.0
3325,1997,1.0,1,137456.0,23343900.0
3325,1997,2.0,1,107237.0,23130800.0
3325,1998,1.0,1,137879.0,23519600.0
3325,1998,2.0,1,107946.0,23317700.0
3325,1999,1.0,1,137637.0,23679100.0
3325,1999,2.0,1,110097.0,23484000.0
3325,2000,1.0,1,137789.0,23863276.0
3325,2000,2.0,1,110951.0,23670843.0
3325,2001,1.0,1,135218.0,24032276.0
3325,2001,2.0,1,108595.0,23844775.0
3325,2002,1.0,1,135846.0,24151328.0
3325,2002,2.0,1,111678.0,23974418.0
3380,2002,1.0,1,219480.0,31026566.0
3380,2002,2.0,1,160884.0,31527809.0
4010,2002,1.0,1,35166.0,3918940.0
4010,2002,2.0,1,40965.0,4163181.0
4020,2000,1.0,1,52254.0,5012017.0
4020,2000,2.0,1,52571.0,5239233.0
4020,2001,1.0,1,51193.0,5030154.0
4020,2001,2.0,1,51799.0,5256416.0
4020,2002,1.0,1,52205.0,5054587.0
4020,2002,2.0,1,53083.0,5278198.0
4038,1995,1.0,1,26058.0,2312800.0
4038,1995,2.0,1,24478.0,2463200.0
4038,1996,1.0,1,25897.0,2159500.0
4038,1996,2.0,1,24739.0,2334100.0
4038,1997,1.0,1,26642.0,2197400.0
4038,1997,2.0,1,25322.0,2375000.0
4038,1998,1.0,1,26682.0,2163200.0
4038,1998,2.0,1,25629.0,2338000.0
4038,1999,1.0,1,26613.0,2188500.0
4038,1999,2.0,1,25340.0,2365300.0
4038,2000,1.0,1,25477.0,2105600.0
4038,2000,2.0,1,24769.0,2275800.0
4038,2001,1.0,1,25077.0,2135900.0
4038,2001,2.0,1,24475.0,2301560.0
4038,2002,1.0,1,25731.0,2138500.0
4038,2002,2.0,1,24838.0,2304700.0
4045,1994,1.0,1,58609.0,5021400.0
4045,1994,2.0,1,58764.0,5314800.0
4045,1995,1.0,1,58925.0,5020200.0
4045,1995,2.0,1,58988.0,5310600.0
4045,1996,1.0,1,56709.0,5014700.0
4045,1996,2.0,1,56073.0,5300700.0
4045,1997,1.0,1,56692.0,5010500.0
4045,1997,2.0,1,56052.0,5293100.0
4045,1998,1.0,1,55139.0,5007500.0
4045,1998,2.0,1,54388.0,5287500.0
4045,1999,1.0,1,54845.0,5002823.0
4045,1999,2.0,1,54923.0,5279961.0
4045,2000,1.0,1,54882.0,4999326.0
4045,2000,2.0,1,54119.0,5273177.0
4045,2001,1.0,1,53772.0,5016473.0
4045,2001,2.0,1,53983.0,5271009.0
4045,2002,1.0,1,54377.0,4964598.0
4045,2002,2.0,1,53866.0,5236176.0
4050,1994,1.0,1,30536.0,2567700.0
4050,1994,2.0,1,30563.0,2637300.0
4050,1995,1.0,1,31064.0,2579800.0
4050,1995,2.0,1,31751.0,2648000.0
4050,1996,1.0,1,30142.0,2598000.0
4050,1996,2.0,1,30570.0,2663500.0
4050,1997,1.0,1,29317.0,2610100.0
4050,1997,2.0,1,30289.0,2674200.0
4050,1998,1.0,1,28750.0,2618900.0
4050,1998,2.0,1,29329.0,2682500.0
4050,1999,1.0,1,28517.0,2628431.0
4050,1999,2.0,1,30205.0,2690679.0
4050,2000,1.0,1,27761.0,2637878.0
4050,2000,2.0,1,29283.0,2699466.0
4050,2001,1.0,1,27877.0,2647249.0
4050,2001,2.0,1,29755.0,2707833.0
4050,2002,1.0,1,28140.0,2657341.0
4050,2002,2.0,1,30257.0,2716914.0
4080,2000,1.0,1,272040.0,28606879.0
4080,2000,2.0,1,258810.0,30288823.0
4080,2001,1.0,1,272271.0,28755212.0
4080,2001,2.0,1,258801.0,30437385.0
4080,2002,1.0,1,272999.0,28989574.0
4080,2002,2.0,1,262141.0,30688679.0
4085,1998,1.0,1,393447.0,39992300.0
4085,1998,2.0,1,458935.0,42036700.0
4085,1999,1.0,1,390742.0,40048000.0
4085,1999,2.0,1,455588.0,42038600.0
4085,2000,1.0,1,388981.0,40115959.0
4085,2000,2.0,1,449816.0,42071655.0
4085,2001,1.0,1,383887.0,40214370.0
4085,2001,2.0,1,444654.0,42125407.0
4085,2002,1.0,1,389116.0,40310430.0
4085,2002,2.0,1,452570.0,42171879.0
4150,1996,1.0,1,74827.0,4922589.0
4150,1996,2.0,1,68303.0,5388649.0
4150,1997,1.0,1,73278.0,4908860.0
4150,1997,2.0,1,66156.0,5381626.0
4150,1998,1.0,1,74300.0,4893080.0
4150,1998,2.0,1,66570.0,5373490.0
4150,1999,1.0,1,74641.0,4804689.0
4150,1999,2.0,1,68569.0,5262817.0
4150,2000,1.0,1,70475.0,4781700.0
4150,2000,2.0,1,65126.0,5242521.0
4150,2001,1.0,1,68389.0,4843996.0
4150,2001,2.0,1,63794.0,5343579.0
4150,2002,1.0,1,68837.0,4827718.0
4150,2002,2.0,1,63996.0,5330889.0
4160,1996,1.0,1,992.0,134800.0
4160,1996,2.0,1,887.0,134100.0
4160,1997,1.0,1,986.0,135779.0
4160,1997,2.0,1,857.0,135136.0
4160,1998,1.0,1,939.0,137092.0
4160,1998,2.0,1,882.0,136702.0
4160,1999,1.0,1,964.0,138783.0
4160,1999,2.0,1,937.0,138401.0
4160,2000,1.0,1,910.0,140718.0
4160,2000,2.0,1,918.0,140436.0
4160,2001,1.0,1,924.0,142757.0
4160,2001,2.0,1,801.0,142297.0
4160,2002,1.0,1,936.0,143860.0
4160,2002,2.0,1,886.0,143699.0
4184,2000,1.0,1,18668.0,2413766.0
4184,2000,2.0,1,15445.0,2473784.0
4184,2001,1.0,1,18152.0,2433804.0
4184,2001,2.0,1,14525.0,2493244.0
4184,2002,1.0,1,19249.0,2453419.0
4184,2002,2.0,1,15986.0,2512016.0
4188,1999,1.0,1,20972.0,1650931.0
4188,1999,2.0,1,19031.0,1873307.0
4188,2001,1.0,1,21571.0,1622242.0
4188,2001,2.0,1,18828.0,1848576.0
4220,1996,1.0,1,22127.0,2166400.0
4220,1996,2.0,1,21792.0,2214900.0
4220,1997,1.0,1,22282.0,2178600.0
4220,1997,2.0,1,22364.0,2226500.0
4220,1998,1.0,1,22149.0,2192300.0
4220,1998,2.0,1,22121.0,2239100.0
4220,1999,1.0,1,22416.0,2208350.0
4220,1999,2.0,1,22698.0,2253564.0
4220,2000,1.0,1,21676.0,2213855.0
4220,2000,2.0,1,22342.0,2256121.0
4220,2001,1.0,1,21634.0,2236618.0
4220,2001,2.0,1,22343.0,2277134.0
4220,2002,1.0,1,21617.0,2249021.0
4220,2002,2.0,1,22784.0,2289139.0
4230,1999,1.0,1,204016.0,18788700.0
4230,1999,2.0,1,177399.0,19864900.0
4230,2000,1.0,1,195390.0,18541844.0
4230,2000,2.0,1,172638.0,19714101.0
4230,2001,1.0,1,192861.0,18532945.0
4230,2001,2.0,1,170359.0,19717845.0
4230,2002,1.0,1,191655.0,18517179.0
4230,2002,2.0,1,167831.0,19715122.0
4240,2002,1.0,1,55687.0,5028357.0
4240,2002,2.0,1,51003.0,5391274.0
4270,1999,1.0,1,141382.0,10984500.0
4270,1999,2.0,1,123812.0,11473500.0
4270,2000,1.0,1,136325.0,10968900.0
4270,2000,2.0,1,119495.0,11466400.0
4270,2001,1.0,1,139549.0,10949490.0
4270,2001,2.0,1,120054.0,11458903.0
4270,2002,1.0,1,144480.0,10642538.0
4270,2002,2.0,1,125186.0,11152255.0
4280,1999,1.0,1,195255.0,19384064.0
4280,1999,2.0,1,175847.0,20242089.0
4300,1996,1.0,1,30774.0,3453200.0
4300,1996,2.0,1,31869.0,3618600.0
4300,1997,1.0,1,30680.0,3461400.0
4300,1997,2.0,1,32200.0,3627500.0
4300,1998,1.0,1,31016.0,3486789.0
4300,1998,2.0,1,31551.0,3645099.0
4300,1999,1.0,1,30430.0,3505087.0
4300,1999,2.0,1,32069.0,3661651.0
4300,2000,1.0,1,30411.0,3527033.0
4300,2000,2.0,1,32134.0,3682009.0
4300,2001,1.0,1,29921.0,3554146.0
4300,2001,2.0,1,31362.0,3706193.0
4300,2002,1.0,1,29727.0,3575029.0
4300,2002,2.0,1,32041.0,3738824.0
4308,2001,1.0,1,287939.0,28809603.0
4308,2001,2.0,1,316454.0,30241244.0
4308,2002,1.0,1,289081.0,28964375.0
4308,2002,2.0,1,318964.0,30359123.0
4310,2001,1.0,1,253608.0,25551441.0
4310,2001,2.0,1,278890.0,26745887.0
4310,2002,1.0,1,254390.0,25703714.0
4310,2002,2.0,1,280966.0,26868343.0
4320,2001,1.0,1,7007.0,824429.0
4320,2001,2.0,1,7506.0,864890.0
4320,2002,1.0,1,6948.0,828856.0
4320,2002,2.0,1,7638.0,867785.0
4330,2000,1.0,1,27511.0,2431926.0
4330,2000,2.0,1,30288.0,2631014.0
4330,2001,1.0,1,27324.0,2433733.0
4330,2001,2.0,1,30058.0,2630467.0
4330,2002,1.0,1,27743.0,2435643.0
4330,2002,2.0,1,30360.0,2630357.0
4350,1997,1.0,1,59000.0,5256354.0
4350,1997,2.0,1,52845.0,5343713.0
4350,1998,1.0,1,59638.0,5264001.0
4350,1998,2.0,1,53674.0,5352885.0
4350,1999,1.0,1,60351.0,5269974.0
4350,1999,2.0,1,55110.0,5359384.0
4350,2000,1.0,1,61656.0,5271588.0
4350,2000,2.0,1,56422.0,5361920.0
4350,2001,1.0,1,53845.0,4083660.0
4350,2001,2.0,1,50594.0,4242723.0
4350,2002,1.0,1,55601.0,3947145.0
4350,2002,2.0,1,52697.0,4161527.0
5020,1998,1.0,1,67131.0,9294674.0
5020,1998,2.0,1,60227.0,9416597.0
5020,1999,1.0,1,67185.0,9396548.0
5020,1999,2.0,1,60894.0,9529307.0
5020,2000,1.0,1,67058.0,9505331.0
5020,2000,2.0,1,61726.0,9648049.0
5020,2001,1.0,1,66815.0,9630652.0
5020,2001,2.0,1,61842.0,9782588.0
5020,2002,1.0,1,68678.0,9766991.0
5020,2002,2.0,1,64369.0,9899331.0
5150,2000,1.0,1,13813.0,1893150.0
5150,2000,2.0,1,12905.0,1964100.0
5150,2001,1.0,1,14162.0,1903050.0
5150,2001,2.0,1,13966.0,1977350.0
5150,2002,1.0,1,14195.0,1933800.0
5150,2002,2.0,1,14164.0,2005000.0
2090,2000,1.0,2,985.0,172334.0
2090,2000,2.0,2,751.0,163855.0
2090,2001,1.0,2,996.0,170286.0
2090,2001,2.0,2,742.0,162057.0
2090,2002,1.0,2,980.0,167710.0
2090,2002,2.0,2,782.0,159777.0
2450,1999,1.0,2,15646.0,1952133.0
2450,1999,2.0,2,12291.0,1867770.0
2450,2000,1.0,2,15718.0,1949017.0
2450,2000,2.0,2,12317.0,1856631.0
2450,2001,1.0,2,15477.0,2064258.0
2450,2001,2.0,2,12091.0,1969490.0
2450,2002,1.0,2,15717.0,2063824.0
2450,2002,2.0,2,12317.0,1969895.0
3090,2001,1.0,2,79.0,24500.0
3090,2001,2.0,2,55.0,22400.0
3090,2002,1.0,2,61.0,19300.0
3090,2002,2.0,2,53.0,18300.0
3150,1998,1.0,2,444.0,65400.0
3150,1998,2.0,2,330.0,62000.0
3150,1999,1.0,2,416.0,67300.0
3150,1999,2.0,2,353.0,63700.0
3150,2000,1.0,2,439.0,68847.0
3150,2000,2.0,2,309.0,65059.0
3150,2001,1.0,2,365.0,69938.5
3150,2001,2.0,2,335.0,66108.0
3150,2002,1.0,2,404.0,70435.0
3150,2002,2.0,2,348.0,67047.5
3160,1995,1.0,2,2808.0,604300.0
3160,1995,2.0,2,2246.0,577700.0
3160,1996,1.0,2,2532.0,608000.0
3160,1996,2.0,2,2014.0,576000.0
3160,1997,1.0,2,2414.0,609000.0
3160,1997,2.0,2,1989.0,580000.0
3160,1998,1.0,2,2364.0,613000.0
3160,1998,2.0,2,2016.0,582000.0
3160,1999,1.0,2,2224.0,604000.0
3160,1999,2.0,2,1786.0,574000.0
3160,2000,1.0,2,2107.0,596408.0
3160,2000,2.0,2,1723.0,566458.0
3160,2001,1.0,2,1989.0,599000.0
3160,2001,2.0,2,1610.0,567000.0
3160,2002,1.0,2,1903.0,594000.0
3160,2002,2.0,2,1594.0,563000.0
3190,1995,1.0,2,255.0,19800.0
3190,1995,2.0,2,195.0,20000.0
3190,1996,1.0,2,272.0,20500.0
3190,1996,2.0,2,243.0,20700.0
3190,1997,1.0,2,293.0,21200.0
3190,1997,2.0,2,244.0,21400.0
3190,1998,1.0,2,248.0,21781.0
3190,1998,2.0,2,202.0,21216.0
3190,1999,1.0,2,199.0,22600.0
3190,1999,2.0,2,187.0,22000.0
3190,2000,1.0,2,219.0,23539.0
3190,2000,2.0,2,160.0,22695.0
3190,2001,1.0,2,237.0,19193.0
